run,seed,allies,enemies,difficulty,victory_condition,ending,human_victory,turns,score,allies_evacuated,actions,action_log,peak_heap_bytes
run-0001,3711454377993658084,100,50,MUY_FACIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,23,2744,31,3368,run-0001-actions.log.gz,4676680
run-0002,-6087276131077476410,105,79,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,24,3369,105,3481,run-0002-actions.log.gz,6782680
run-0003,-7351115902857953801,110,110,NORMAL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,23,3061,72,4442,run-0003-actions.log.gz,7265048
run-0004,2310149322707250743,115,144,DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,26,3157,75,6041,run-0004-actions.log.gz,7824696
run-0005,-6898549225771989968,120,180,MUY_DIFICIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,35,-1389,0,8113,run-0005-actions.log.gz,7824696
run-0006,7698066486203930935,125,225,PESADILLA,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,26,-1368,0,7788,run-0006-actions.log.gz,8307120
run-0007,-1244279573347436420,129,284,DEMENTE,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,27,-887,8,9669,run-0007-actions.log.gz,8870976
run-0008,-136285768041953564,134,67,MUY_FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,33,-1086,9,6090,run-0008-actions.log.gz,9353344
run-0009,-5602208011212249016,139,104,FACIL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,27,2899,44,5998,run-0009-actions.log.gz,9449360
run-0010,-5098060004152182681,144,144,NORMAL,JUGADOR_Y_ALIADOS,VICTORIA_TODOS_ALIADOS,true,22,3774,144,5424,run-0010-actions.log.gz,9948104
run-0011,6020691281989664930,149,186,DIFICIL,SOLO_JUGADOR,VICTORIA_ALIADA_POST_MORTEM,true,32,3298,98,9716,run-0011-actions.log.gz,10430472
run-0012,3750959630722737620,154,231,MUY_DIFICIL,JUGADOR_Y_ALIADOS,VICTORIA_ALIADA_POST_MORTEM,true,35,3434,101,10775,run-0012-actions.log.gz,10485760
run-0013,-812503807182510822,159,286,PESADILLA,SOLO_JUGADOR,VICTORIA_ENEMIGA_ELIMINACION,false,31,-1467,0,10833,run-0013-actions.log.gz,10968248
run-0014,1038409407699520803,164,361,DEMENTE,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_ELIMINACION,false,23,-1427,0,10540,run-0014-actions.log.gz,11467016
run-0015,-6621547350596573945,169,85,MUY_FACIL,SOLO_JUGADOR,VICTORIA_ENEMIGA_AGOTAMIENTO,false,34,-1105,11,7632,run-0015-actions.log.gz,12016712
run-0016,8830391095596325432,174,131,FACIL,JUGADOR_Y_ALIADOS,VICTORIA_ENEMIGA_AGOTAMIENTO,false,31,-1068,11,8372,run-0016-actions.log.gz,12530096
run-0017,-9063502156209749873,178,178,NORMAL,SOLO_JUGADOR,VICTORIA_JUGADOR,true,25,3073,56,8419,run-0017-actions.log.gz,12530096
