scenario,axis,value,difficulty,rows,cols,allies,ally_level,player_level,condition,runs,mission_wins,mission_win_pct,human_side_wins,human_side_win_pct,censored,mean_turns,mean_allies,mean_enemies
D-MUY_FACIL,dificultad,MUY_FACIL,MUY_FACIL,25,25,10,10,10,SOLO_JUGADOR,200,174,87.0,176,88.0,0,145.7,10.0,5.0
D-FACIL,dificultad,FACIL,FACIL,25,25,10,10,10,SOLO_JUGADOR,200,112,56.0,113,56.5,0,266.1,10.0,8.0
D-NORMAL,dificultad,NORMAL,NORMAL,25,25,10,10,10,SOLO_JUGADOR,200,50,25.0,55,27.5,0,373.0,10.0,10.0
D-DIFICIL,dificultad,DIFICIL,DIFICIL,25,25,10,10,10,SOLO_JUGADOR,200,42,21.0,46,23.0,0,358.8,10.0,11.0
D-MUY_DIFICIL,dificultad,MUY_DIFICIL,MUY_DIFICIL,25,25,10,10,10,SOLO_JUGADOR,200,31,15.5,35,17.5,0,416.4,10.0,11.0
D-PESADILLA,dificultad,PESADILLA,PESADILLA,25,25,10,10,10,SOLO_JUGADOR,200,21,10.5,26,13.0,0,485.0,10.0,11.0
D-DEMENTE,dificultad,DEMENTE,DEMENTE,25,25,10,10,10,SOLO_JUGADOR,200,28,14.0,29,14.5,0,525.4,10.0,11.0
P-000,poblacion,0,NORMAL,25,25,0,10,10,SOLO_JUGADOR,200,181,90.5,181,90.5,0,57.1,0.0,1.0
P-001,poblacion,1,NORMAL,25,25,1,10,10,SOLO_JUGADOR,200,70,35.0,158,79.0,0,109.6,1.0,2.0
P-005,poblacion,5,NORMAL,25,25,5,10,10,SOLO_JUGADOR,200,91,45.5,94,47.0,0,376.6,5.0,5.0
P-010,poblacion,10,NORMAL,25,25,10,10,10,SOLO_JUGADOR,200,68,34.0,75,37.5,0,339.7,10.0,10.0
P-025,poblacion,25,NORMAL,25,25,25,10,10,SOLO_JUGADOR,200,26,13.0,28,14.0,0,333.7,25.0,25.0
P-050,poblacion,50,NORMAL,25,25,50,10,10,SOLO_JUGADOR,200,7,3.5,7,3.5,0,276.1,50.0,50.0
P-100,poblacion,100,NORMAL,25,25,100,10,10,SOLO_JUGADOR,200,2,1.0,2,1.0,0,185.9,100.0,100.0
P-250,poblacion,250,NORMAL,25,25,250,10,10,SOLO_JUGADOR,200,0,0.0,0,0.0,0,217.0,250.0,250.0
M-10x10,mapa,10x10,NORMAL,10,10,10,10,10,SOLO_JUGADOR,200,68,34.0,75,37.5,0,62.5,10.0,10.0
M-15x25,mapa,15x25,NORMAL,15,25,10,10,10,SOLO_JUGADOR,200,57,28.5,60,30.0,0,207.1,10.0,10.0
M-30x30,mapa,30x30,NORMAL,30,30,10,10,10,SOLO_JUGADOR,200,65,32.5,68,34.0,0,565.9,10.0,10.0
M-50x50,mapa,50x50,NORMAL,50,50,10,10,10,SOLO_JUGADOR,200,49,24.5,50,25.0,0,1937.3,10.0,11.0
LA-001,nivel_aliados,1,NORMAL,25,25,10,1,10,SOLO_JUGADOR,200,42,21.0,45,22.5,0,314.2,10.0,10.0
LA-005,nivel_aliados,5,NORMAL,25,25,10,5,10,SOLO_JUGADOR,200,43,21.5,44,22.0,0,356.6,10.0,10.0
LA-010,nivel_aliados,10,NORMAL,25,25,10,10,10,SOLO_JUGADOR,200,58,29.0,59,29.5,0,360.8,10.0,10.0
LA-025,nivel_aliados,25,NORMAL,25,25,10,25,10,SOLO_JUGADOR,200,84,42.0,90,45.0,0,367.2,10.0,10.0
LA-050,nivel_aliados,50,NORMAL,25,25,10,50,10,SOLO_JUGADOR,200,82,41.0,91,45.5,0,394.5,10.0,10.0
LA-100,nivel_aliados,100,NORMAL,25,25,10,100,10,SOLO_JUGADOR,200,90,45.0,95,47.5,0,384.8,10.0,10.0
LJ-001,nivel_jugador,1,NORMAL,25,25,10,10,1,SOLO_JUGADOR,200,45,22.5,51,25.5,0,357.6,10.0,10.0
LJ-010,nivel_jugador,10,NORMAL,25,25,10,10,10,SOLO_JUGADOR,200,60,30.0,69,34.5,0,364.5,10.0,10.0
LJ-025,nivel_jugador,25,NORMAL,25,25,10,10,25,SOLO_JUGADOR,200,84,42.0,88,44.0,0,273.1,10.0,10.0
LJ-050,nivel_jugador,50,NORMAL,25,25,10,10,50,SOLO_JUGADOR,200,114,57.0,121,60.5,0,213.7,10.0,10.0
LJ-100,nivel_jugador,100,NORMAL,25,25,10,10,100,SOLO_JUGADOR,200,140,70.0,142,71.0,0,200.3,10.0,10.0
C-SOLO_JUGADOR,condicion,SOLO_JUGADOR,NORMAL,25,25,10,10,10,SOLO_JUGADOR,200,51,25.5,56,28.0,0,358.7,10.0,10.0
C-JUGADOR_Y_ALIADOS,condicion,JUGADOR_Y_ALIADOS,NORMAL,25,25,10,10,10,JUGADOR_Y_ALIADOS,200,5,2.5,5,2.5,0,101.7,10.0,10.0
